text,label
I love this movie,1
This film is wonderful,1
The story is very interesting,1
The actors did a great job,1
I really enjoyed this film,1
This is an excellent movie,1
The ending made me happy,1
The performance was amazing,1
The movie is beautiful and touching,1
I would watch this movie again,1
I hate this movie,0
This film is terrible,0
The story is very boring,0
The actors did a bad job,0
I did not enjoy this film,0
This is an awful movie,0
The ending made me angry,0
The performance was disappointing,0
The movie is dull and meaningless,0
I would never watch this movie again,0
